word1,word2,PMI_score
diversity,in,10.277346355720832
really,like,10.277346355720832
when,we,10.277346355720832
able,to,10.257639566464762
close,to,10.257639566464762
closer,to,10.257639566464762
compared,to,10.257639566464762
great,school,10.257639566464762
hard,to,10.257639566464762
need,to,10.257639566464762
to,pay,10.257639566464762
used,to,10.257639566464762
willing,to,10.257639566464762
it's,not,10.199481856160443
who,live,10.152081989473881
on,franklin,10.12408966757487
a,few,10.105609772934988
a,gun,10.105609772934988
a,kid,10.105609772934988
a,little,10.105609772934988
a,ton,10.105609772934988
a,whole,10.105609772934988
far,but,10.087272581607959
which,you,10.033095604913566
your,house,10.033095604913566
going,on,9.911291753765887
january,and,9.894390227065012
wife,and,9.894390227065012
want,to,9.891584964509818
a,lot,9.879281027777177
if,they,9.86926137376917
good,school,9.800822790377266
at,all,9.790053363860746
who,have,9.771323597649443
due,to,9.727750733365424
i,couldn't,9.70043312506004
i,guess,9.70043312506004
i,quickly,9.70043312506004
off,of,9.68496300860808
find,it,9.654321880548412
they,don't,9.631597740852307
road,for,9.629086207591422
schools,are,9.594200834475531
they,are,9.594200834475531
will,be,9.594200834475531
have,lived,9.564701641747709
to,take,9.458634263450273
a,bit,9.422464251689686
nice,area,9.395011293019374
yeah,it's,9.367872089317723
in,midtown,9.31450682156195
on,where,9.31450682156195
that,time,9.31450682156195
if,your,9.307919703671546
way,to,9.294800032305877
my,house,9.28826727859347
don't,have,9.198647039792764
you,do,9.186115852523866
couple,of,9.15507417550874
most,of,9.15507417550874
of,ghetto,9.15507417550874
parts,of,9.15507417550874
best,but,9.124433047449074
it,dangerous,9.124433047449074
love,it,9.124433047449074
year,but,9.124433047449074
lived,in,9.107884865660209
is,super,9.094182262856515
i,sold,9.017287603814738
how,that,8.948452219607002
the,80,8.937171179498758
the,best,8.937171179498758
the,burbs,8.937171179498758
the,customers,8.937171179498758
the,same,8.937171179498758
the,state,8.937171179498758
the,worst,8.937171179498758
delk,and,8.931550692906127
husband,and,8.931550692906127
to,get,8.928745430350933
a,couple,8.892575418590345
for,any,8.892575418590345
cobb,schools,8.837983256218383
when,you,8.753165151464323
i,grew,8.737593590901158
problem,i,8.737593590901158
because,of,8.722123474449196
end,of,8.722123474449196
it,definitely,8.691482346389527
it,used,8.691482346389527
lived,there,8.691482346389527
for,over,8.66624667343254
built,in,8.631361300316646
living,in,8.631361300316643
live,here,8.616565897458315
having,to,8.611654511060575
went,to,8.611654511060575
it's,just,8.56886678630323
not,really,8.553496800756257
there,are,8.538225658243563
are,some,8.478104612170682
of,them,8.471928654263436
bought,a,8.459624717530799
but,i've,8.441287526203771
but,now,8.441287526203771
area,has,8.43217175886049
this,area,8.43217175886049
it,was,8.382651103171934
people,have,8.351667287403062
say,that,8.351667287403062
city,is,8.295176959842024
going,to,8.245599909105628
one,of,8.245599909105628
to,buy,8.245599909105628
bad,area,8.181976938674733
district,but,8.161593513290189
live,there,8.109401204055082
dangerous,in,8.101472467217304
in,atlanta,8.101472467217304
that,bad,8.101472467217304
buy,a,8.093570115575856
someone,to,8.081765677961236
did,i,8.054448069655853
i,could,8.054448069655853
i,think,8.054448069655853
i,work,8.054448069655853
i,would,8.054448069655853
i,wouldn't,8.054448069655853
